what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1449238030327
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1449238030328
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1449238030328
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1449238030329
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1449238030330
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1449238030331
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1449238030331
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1449238030332
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1449238030333
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1449238030333
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1449238030333
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1449238030334
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1449238030334
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1449238030335
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1449238030335
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1449238030336
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1449238030337
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1449238030355
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1449238030355
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1449238030356
started,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1449238030356
os,sysinfo,,,"win32",1449238030359
arch,sysinfo,,,"x86",1449238030359
ws,sysinfo,,,"win32",1449238030359
locale,sysinfo,,,"de_DE",1449238030359
processors,sysinfo,,,"4",1449238030359
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1449238030359
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1449238030359
java.specification.name,sysinfo,,,"Java Platform API Specification",1449238030359
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449238030359
java.specification.version,sysinfo,,,"1.6",1449238030359
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1449238030359
java.version,sysinfo,,,"1.6.0_23",1449238030359
java.vm.info,sysinfo,,,"mixed mode",1449238030359
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1449238030359
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1449238030359
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449238030359
java.vm.specification.version,sysinfo,,,"1.0",1449238030359
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1449238030359
java.vm.version,sysinfo,,,"19.0-b09",1449238030359
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1449238030385
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1449238030460
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1449238030840
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1449238030897
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1449238031671
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1449238032154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449238039356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449238040868
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449238041045
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1449238041734
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1449238041740
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1449238041993
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1449238042124
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1449238042144
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1449238042178
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1449238042178
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1449238042178
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1449238042178
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1449238042178
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1449238042182
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1449238042182
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1449238042182
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1449238042217
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1449238042294
